line1,line2,line3,city,stateCode,postalCode,address
101 Fort Pulaski Road,,,Savannah,GA,31410,"101 Fort Pulaski Road, , , Savannah, GA, 31410"
1500 Fort Raleigh Road,,,Manteo,NC,27954,"1500 Fort Raleigh Road, , , Manteo, NC, 27954"
1 Old Fort Blvd.,,,Fort Scott,KS,66701,"1 Old Fort Blvd., , , Fort Scott, KS, 66701"
301 Parker Ave,,,Fort Smith,AR,72901,"301 Parker Ave, , , Fort Smith, AR, 72901"
100 North James St.,,,Rome,NY,13440,"100 North James St., , , Rome, NY, 13440"
340 Concord Street,,,Charleston,SC,29401,"340 Concord Street, , , Charleston, SC, 29401"
3115 NM Highway 161,,,Watrous,NM,87753,"3115 NM Highway 161, , , Watrous, NM, 87753"
15550 Highway 1804,,,Williston,ND,58801,"15550 Highway 1804, , , Williston, ND, 58801"
1001 E 5th St,,,Vancouver,WA,98661,"1001 E 5th St, , , Vancouver, WA, 98661"
13551 Fort Washington Road,,,Fort Washington,MD,20744,"13551 Fort Washington Road, , , Fort Washington, MD, 20744"
864 Chicken Creek Road,,,Kemmerer,WY,83101,"864 Chicken Creek Road, , , Kemmerer, WY, 83101"
400 West Basin Drive SW,,,Washington,DC,20002,"400 West Basin Drive SW, , , Washington, DC, 20002"
1411 W Street SE,,,Washington,DC,20020,"1411 W Street SE, , , Washington, DC, 20020"
99 Warren Street,,,Brookline,MA,02445,"99 Warren Street, , , Brookline, MA, 02445"
120 Chatham Ln,,,Fredericksburg,VA,22405,"120 Chatham Ln, , , Fredericksburg, VA, 22405"
Freedom Riders National Monument,1031 Gurnee Ave,,Anniston,AL,36201,"Freedom Riders National Monument, 1031 Gurnee Ave, , Anniston, AL, 36201"
223 New Geneva Rd.,,,Point Marion,PA,15470,"223 New Geneva Rd., , , Point Marion, PA, 15470"
101 Dunkel St,,,Fairbanks,AK,99701,"101 Dunkel St, , , Fairbanks, AK, 99701"
11 North 4th Street,,,St. Louis,MO,63102,"11 North 4th Street, , , St. Louis, MO, 63102"
210 New York Avenue,,,Staten Island,NY,10305,"210 New York Avenue, , , Staten Island, NY, 10305"
Gauley River National Recreation Area,104 Main Street,,Glen Jean,WV,25846-0246,"Gauley River National Recreation Area, 104 Main Street, , Glen Jean, WV, 25846-0246"
Riverside Drive and W. 122nd Street,,,New York,NY,10027,"Riverside Drive and W. 122nd Street, , , New York, NY, 10027"
401 S. 2nd Street,,,Vincennes,IN,47591,"401 S. 2nd Street, , , Vincennes, IN, 47591"
1732 Popes Creek Road,,,Colonial Beach,VA,22443,"1732 Popes Creek Road, , , Colonial Beach, VA, 22443"
5646 Carver Road,,,Diamond,MO,64840,"5646 Carver Road, , , Diamond, MO, 64840"
George Washington Memorial Parkway Headquarters,700 George Washington Memorial Parkway,,McLean,VA,22101,"George Washington Memorial Parkway Headquarters, 700 George Washington Memorial Parkway, , McLean, VA, 22101"
1195 Baltimore Pike,,,Gettysburg,PA,17325,"1195 Baltimore Pike, , , Gettysburg, PA, 17325"
26 Jim Bradford Trail,,,Mimbres,NM,88049,"26 Jim Bradford Trail, , , Mimbres, NM, 88049"
1 Park Road,,,Gustavus,AK,99826,"1 Park Road, , , Gustavus, AK, 99826"
64 Grinnell Drive,Glacier National Park Headquarters,,West Glacier,MT,59936,"64 Grinnell Drive, Glacier National Park Headquarters, , West Glacier, MT, 59936"
691 Scenic View Rd.,Park Headquarters,,Page,AZ,86040,"691 Scenic View Rd., Park Headquarters, , Page, AZ, 86040"
7300 MacArthur Boulevard,,,Glen Echo,MD,20812,"7300 MacArthur Boulevard, , , Glen Echo, MD, 20812"
916 S. Swanson Street,,,Philadelphia,PA,19147,"916 S. Swanson Street, , , Philadelphia, PA, 19147"
Golden Gate National Recreation Area,"Building 201, Fort Mason",,San Francisco,CA,94123-0022,"Golden Gate National Recreation Area, Building 201, Fort Mason, , San Francisco, CA, 94123-0022"
6200 North 22300 West,,,"Promontory, Utah",UT,84307,"6200 North 22300 West, , , Promontory, Utah, UT, 84307"
Governors Island,New York Harbor,,New York,NY,10004-1921,"Governors Island, New York Harbor, , New York, NY, 10004-1921"
20 South Entrance Road,,,Grand Canyon,AZ,86023,"20 South Entrance Road, , , Grand Canyon, AZ, 86023"
Public Lands Information Center,345 East Riverside Drive,,Saint George,UT,84790,"Public Lands Information Center, 345 East Riverside Drive, , Saint George, UT, 84790"
170 Mile Creek Road,,,Grand Portage,MN,55605,"170 Mile Creek Road, , , Grand Portage, MN, 55605"
103 Headquarters Loop,,,Moose,WY,83012,"103 Headquarters Loop, , , Moose, WY, 83012"
251 Grant Circle,,,Deer Lodge,MT,59722,"251 Grant Circle, , , Deer Lodge, MT, 59722"
Lehman Caves Visitor Center,Nevada 488,,Baker,NV,89311,"Lehman Caves Visitor Center, Nevada 488, , Baker, NV, 89311"
Route 50,,,Estell Manor,NJ,08330,"Route 50, , , Estell Manor, NJ, 08330"
9200 Old Dominion Dr.,,,McLean,VA,22102,"9200 Old Dominion Dr., , , McLean, VA, 22102"
Visitor Center,11999 State Highway 150,,Mosca,CO,81146,"Visitor Center, 11999 State Highway 150, , Mosca, CO, 81146"
107 Park Headquarters Road,,,Gatlinburg,TN,37738,"107 Park Headquarters Road, , , Gatlinburg, TN, 37738"
Western Louisa County,,,Multiple Privately Owned Properties,VA,23093,"Western Louisa County, , , Multiple Privately Owned Properties, VA, 23093"
6565 Greenbelt Road,,,Greenbelt,MD,20770,"6565 Greenbelt Road, , , Greenbelt, MD, 20770"
400 Pine Canyon,,,Salt Flat,TX,79847,"400 Pine Canyon, , , Salt Flat, TX, 79847"
2332 New Garden Road,,,Greensboro,NC,27410,"2332 New Garden Road, , , Greensboro, NC, 27410"
1801 Gulf Breeze Parkway,,,Gulf Breeze,FL,32563,"1801 Gulf Breeze Parkway, , , Gulf Breeze, FL, 32563"
17970 U.S. Hwy 30,,,Hagerman,ID,83332,"17970 U.S. Hwy 30, , , Hagerman, ID, 83332"
Haleakalā National Park,Route 378,,Kula,HI,96790,"Haleakalā National Park, Route 378, , Kula, HI, 96790"
414 West 141st Street,,,New York,NY,10031,"414 West 141st Street, , , New York, NY, 10031"
535 Hampton Lane,,,Towson,MD,21286,"535 Hampton Lane, , , Towson, MD, 21286"
10702 Livingston Rd.,,,Fort Washington,MD,20744,"10702 Livingston Rd., , , Fort Washington, MD, 20744"
Harpers Ferry National Historical Park,171 Shoreline Drive,,Harpers Ferry,WV,25425,"Harpers Ferry National Historical Park, 171 Shoreline Drive, , Harpers Ferry, WV, 25425"
180 South Street,,,Auburn,NY,13021,"180 South Street, , , Auburn, NY, 13021"
4068 Golden Hill Road,,,Church Creek,MD,21622,"4068 Golden Hill Road, , , Church Creek, MD, 21622"
219 North Delaware Street (Truman Home),223 North Main Street (Visitor Center)---Ticketing Location,,Independence,MO,64050,"219 North Delaware Street (Truman Home), 223 North Main Street (Visitor Center)---Ticketing Location, , Independence, MO, 64050"
1 Crater Rim Drive,,,Hawaii National Park,HI,96718,"1 Crater Rim Drive, , , Hawaii National Park, HI, 96718"
110 Parkside Drive,,,West Branch,IA,52358,"110 Parkside Drive, , , West Branch, IA, 52358"
1368 Colonial Parkway,,,Jamestown,VA,23081,"1368 Colonial Parkway, , , Jamestown, VA, 23081"
114 Estates Lane,,,Hyde Park,NY,12538,"114 Estates Lane, , , Hyde Park, NY, 12538"
8523 West State Highway 4,,,Beatrice,NE,68310,"8523 West State Highway 4, , , Beatrice, NE, 68310"
National Park Service,Honouliuli National Historic Site,"99-040 Kauhale Street, PO Box 2079",Aiea,HI,96701,"National Park Service, Honouliuli National Historic Site, 99-040 Kauhale Street, PO Box 2079, Aiea, HI, 96701"
16062 State Route 104,,,Chillicothe,OH,45601,"16062 State Route 104, , , Chillicothe, OH, 45601"
2 Mark Bird Lane,,,Elverson,PA,19520,"2 Mark Bird Lane, , , Elverson, PA, 19520"
11288 Horseshoe Bend Road,,,Daviston,AL,36256,"11288 Horseshoe Bend Road, , , Daviston, AL, 36256"
369 Central Avenue,,,Hot Springs,AR,71901,"369 Central Avenue, , , Hot Springs, AR, 71901"
Along the border between southeast Utah and southwest Colorado,"Just north and west of Cortez, CO",,Cortez,CO,81321,"Along the border between southeast Utah and southwest Colorado, Just north and west of Cortez, CO, , Cortez, CO, 81321"
1/2 mile west of Hwy 191/264,,,Ganado,AZ,86505-0150,"1/2 mile west of Hwy 191/264, , , Ganado, AZ, 86505-0150"
Program Manager,Ice Age Floods National Geologic Trail,1008 Crest Drive,Coulee Dam,WA,99116,"Program Manager, Ice Age Floods National Geologic Trail, 1008 Crest Drive, Coulee Dam, WA, 99116"
8075 Old Sauk Pass Road,,,Cross Plains,WI,53528,"8075 Old Sauk Pass Road, , , Cross Plains, WI, 53528"
599 Market Street,,,Philadelphia,PA,19106,"599 Market Street, , , Philadelphia, PA, 19106"
1215 IN-49,,,Porter,IN,46304,"1215 IN-49, , , Porter, IN, 46304"
800 East Lakeshore Drive,,,Houghton,MI,49931,"800 East Lakeshore Drive, , , Houghton, MI, 49931"
5421 North Star Street,,,Barrow,AK,99723,"5421 North Star Street, , , Barrow, AK, 99723"
8095 Mentor Avenue,,,Mentor,OH,44060,"8095 Mentor Avenue, , , Mentor, OH, 44060"
419 Decatur St,,,New Orleans,LA,70130,"419 Decatur St, , , New Orleans, LA, 70130"
11149 U.S. Hwy. 16,Building B12,,Custer,SD,57730,"11149 U.S. Hwy. 16, Building B12, , Custer, SD, 57730"
300 North Bond Street,,,Plains,GA,31780,"300 North Bond Street, , , Plains, GA, 31780"
32651 Highway 19,,,Kimberly,OR,97848,"32651 Highway 19, , , Kimberly, OR, 97848"
83 Beals Street,,,Brookline,MA,02446,"83 Beals Street, , , Brookline, MA, 02446"
4202 Alhambra Ave,,,Martinez,CA,94553,"4202 Alhambra Ave, , , Martinez, CA, 94553"
733 Lake Road,,,South Fork,PA,15956,"733 Lake Road, , , South Fork, PA, 15956"
74485 National Park Drive,,,Twentynine Palms,CA,92277-3597,"74485 National Park Drive, , , Twentynine Palms, CA, 92277-3597"
"440 Civic Center Plaza, Suite 300",,,Richmond,CA,94804,"440 Civic Center Plaza, Suite 300, , , Richmond, CA, 94804"
7 Puahi Street,,,Kalaupapa,HI,96742,"7 Puahi Street, , , Kalaupapa, HI, 96742"
"Visitor Center, Queen Ka'ahumanu Highway, south of 97 mile marker",,,Kailua-Kona,HI,96740,"Visitor Center, Queen Ka'ahumanu Highway, south of 97 mile marker, , , Kailua-Kona, HI, 96740"
PO Box 446,,,Patten,ME,04765,"PO Box 446, , , Patten, ME, 04765"
1000 Silver Street,Building 603,,King Salmon,AK,99613,"1000 Silver Street, Building 603, , King Salmon, AK, 99613"
411 Washington Street,,,Seward,AK,99664,"411 Washington Street, , , Seward, AK, 99664"
1550 Anacostia Ave. NE,,,Washington,DC,20019,"1550 Anacostia Ave. NE, , , Washington, DC, 20019"
900 Kennesaw Mountain Dr,,,Kennesaw,GA,30152,"900 Kennesaw Mountain Dr, , , Kennesaw, GA, 30152"
25970 Red Jacket Road,,,Calumet,MI,49913,"25970 Red Jacket Road, , , Calumet, MI, 49913"
2300 Park Road,,,Blacksburg,SC,29702,"2300 Park Road, , , Blacksburg, SC, 29702"
319 Second Ave S.,,,Seattle,WA,98104,"319 Second Ave S., , , Seattle, WA, 98104"
Klondike Gold Rush National Historical Park,291 Broadway,,Skagway,AK,99840,"Klondike Gold Rush National Historical Park, 291 Broadway, , Skagway, AK, 99840"
564 County Road 37,,,Stanton,ND,58571,"564 County Road 37, , , Stanton, ND, 58571"
171 3rd Ave,,,Kotzebue,AK,99752,"171 3rd Ave, , , Kotzebue, AK, 99752"
"10 Daniel French Dr, SW",,,Washington,DC,20002,"10 Daniel French Dr, SW, , , Washington, DC, 20002"
Lyndon Baines Johnson Memorial Grove,,,Washington,DC,,"Lyndon Baines Johnson Memorial Grove, , , Washington, DC, "
1 Park Place,,,Port Alsworth,AK,99653,"1 Park Place, , , Port Alsworth, AK, 99653"
Lake Mead Visitor Center,10 Lakeshore Rd,,Boulder City,NV,89005,"Lake Mead Visitor Center, 10 Lakeshore Rd, , Boulder City, NV, 89005"
419 E. Broadway,,,Fritch,TX,79036,"419 E. Broadway, , , Fritch, TX, 79036"
Lake Roosevelt National Recreation Area,1008 Crest Drive,,Coulee Dam,WA,99116,"Lake Roosevelt National Recreation Area, 1008 Crest Drive, , Coulee Dam, WA, 99116"
38050 Highway 36 East,Park Headquarters,,Mineral,CA,96063,"38050 Highway 36 East, Park Headquarters, , Mineral, CA, 96063"
1 Indian Well HQ,,,Tulelake,CA,96134,"1 Indian Well HQ, , , Tulelake, CA, 96134"
601 Riverfront Dr.,,,Omaha,NE,68102,"601 Riverfront Dr., , , Omaha, NE, 68102"
Lewis and Clark National Historical Park,92343 Fort Clatsop Road,,Astoria,OR,97103,"Lewis and Clark National Historical Park, 92343 Fort Clatsop Road, , Astoria, OR, 97103"
3027 East South Street,,,Lincoln City,IN,47552,"3027 East South Street, , , Lincoln City, IN, 47552"
426 S. 7th Street,,,Springfield,IL,62701,"426 S. 7th Street, , , Springfield, IL, 62701"
"2 Lincoln Memorial Circle, NW",,,Washington,DC,20002,"2 Lincoln Memorial Circle, NW, , , Washington, DC, 20002"
756 Battlefield Tour Road,,,Crow Agency,MT,59022,"756 Battlefield Tour Road, , , Crow Agency, MT, 59022"
4322 Little River Trail NE Ste 100,,,Fort Payne,AL,35967,"4322 Little River Trail NE Ste 100, , , Fort Payne, AL, 35967"
Little Rock Central High School NHS,2120 W. Daisy L. Gatson Bates Drive,,Little Rock,AR,72202-5212,"Little Rock Central High School NHS, 2120 W. Daisy L. Gatson Bates Drive, , Little Rock, AR, 72202-5212"
105 Brattle Street,,,Cambridge,MA,02138,"105 Brattle Street, , , Cambridge, MA, 02138"
115 John Street,,,Lowell,MA,01852,"115 John Street, , , Lowell, MA, 01852"
NPS Wild & Scenic Rivers,1234 Market Street,,Philadelphia,PA,19107,"NPS Wild & Scenic Rivers, 1234 Market Street, , Philadelphia, PA, 19107"
103 Orchard Street,,,New York,NY,10002,"103 Orchard Street, , , New York, NY, 10002"
100 Ladybird Lane,,,Johnson City,TX,78636,"100 Ladybird Lane, , , Johnson City, TX, 78636"
600 N. 2nd Street,,,Richmond,VA,23219,"600 N. 2nd Street, , , Richmond, VA, 23219"
PO Box 88,,,Madawaska,ME,04756,"PO Box 88, , , Madawaska, ME, 04756"
1 Visitor Center Parkway,,,Mammoth Cave,KY,42259-0007,"1 Visitor Center Parkway, , , Mammoth Cave, KY, 42259-0007"
6511 Sudley Road,,,Manassas,VA,20109,"6511 Sudley Road, , , Manassas, VA, 20109"
Manhattan Project National Historical Park,c/o NPS Intermountain Regional Office,12795 West Alameda Parkway,Lakewood,CO,80228,"Manhattan Project National Historical Park, c/o NPS Intermountain Regional Office, 12795 West Alameda Parkway, Lakewood, CO, 80228"
Manzanar National Historic Site,,5001 Highway 395,Independence,CA,93526,"Manzanar National Historic Site, , 5001 Highway 395, Independence, CA, 93526"
Billings Farm & Museum Parking Lot,69 Old River Rd,,Woodstock,VT,05091,"Billings Farm & Museum Parking Lot, 69 Old River Rd, , Woodstock, VT, 05091"
1850 West Basin Drive SW,,,Washington,DC,20024,"1850 West Basin Drive SW, , , Washington, DC, 20024"
"450 Auburn Avenue, NE",,,Atlanta,GA,30312,"450 Auburn Avenue, NE, , , Atlanta, GA, 30312"
Martin Van Buren NHS,1013 Old Post Road,,Kinderhook,NY,12106-3605,"Martin Van Buren NHS, 1013 Old Post Road, , Kinderhook, NY, 12106-3605"
1318 Vermont Avenue NW,,,Washington,DC,20005,"1318 Vermont Avenue NW, , , Washington, DC, 20005"
2332 Margaret Walker Alexander Drive,,,Jackson,MS,39213,"2332 Margaret Walker Alexander Drive, , , Jackson, MS, 39213"
Mile .7 Headquarters Loop Road,,,Mesa Verde National Park,CO,81330,"Mile .7 Headquarters Loop Road, , , Mesa Verde National Park, CO, 81330"
Mill Springs Battlefield National Monument,9020 West Highway 80,,Nancy,KY,42544,"Mill Springs Battlefield National Monument, 9020 West Highway 80, , Nancy, KY, 42544"
1428 Hunt Road,,,Jerome,ID,83338,"1428 Hunt Road, , , Jerome, ID, 83338"
Minute Man Visitor Center,210 North Great Road,,Lincoln,MA,01773,"Minute Man Visitor Center, 210 North Great Road, , Lincoln, MA, 01773"
24545 Cottonwood Road,,,Philip,SD,57567,"24545 Cottonwood Road, , , Philip, SD, 57567"
"111 E. Kellogg Blvd., Suite 105",,,Saint Paul,MN,55101,"111 E. Kellogg Blvd., Suite 105, , , Saint Paul, MN, 55101"
508 East 2nd Street,,,Yankton,SD,57078,"508 East 2nd Street, , , Yankton, SD, 57078"
90942 Kelso Cima Road,,,Kelso,CA,92309,"90942 Kelso Cima Road, , , Kelso, CA, 92309"
5201 Urbana Pike,,,Frederick,MD,21704,"5201 Urbana Pike, , , Frederick, MD, 21704"
2800 Montezuma Castle Road,,,Camp Verde,AZ,86322,"2800 Montezuma Castle Road, , , Camp Verde, AZ, 86322"
40 Patriots Hall Dr.,,,Currie,NC,28435,"40 Patriots Hall Dr., , , Currie, NC, 28435"
National Trails Office Regions 6|7|8,Mormon Pioneer National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,"National Trails Office Regions 6|7|8, Mormon Pioneer National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
30 Washington Place,,,Morristown,NJ,07960,"30 Washington Place, , , Morristown, NJ, 07960"
55210 238th Avenue East,,,Ashford,WA,98304,"55210 238th Avenue East, , , Ashford, WA, 98304"
13000 Highway 244,"Building 31, Suite 1",,Keystone,SD,57751,"13000 Highway 244, Building 31, Suite 1, , Keystone, SD, 57751"
Muir Woods National Monument,1 Muir Woods Rd,,Mill Valley,CA,94941,"Muir Woods National Monument, 1 Muir Woods Rd, , Mill Valley, CA, 94941"
640 South Canal Street,,,Natchez,MS,39120,"640 South Canal Street, , , Natchez, MS, 39120"
2680 Natchez Trace Parkway,,,Tupelo,MS,38804,"2680 Natchez Trace Parkway, , , Tupelo, MS, 38804"
2680 Natchez Trace Parkway,,,Tupelo,MS,38804,"2680 Natchez Trace Parkway, , , Tupelo, MS, 38804"
1900 Anacostia Drive SE,,,Washington,DC,20020,"1900 Anacostia Drive SE, , , Washington, DC, 20020"
Washington Monument (NOT FOR MAIL- LOCATION ONLY),2 15th St NW,,Washington,DC,20024,"Washington Monument (NOT FOR MAIL- LOCATION ONLY), 2 15th St NW, , Washington, DC, 20024"
National Park of American Samoa,"MHJ Building, 2nd Floor",,Pago Pago,AS,96799,"National Park of American Samoa, MHJ Building, 2nd Floor, , Pago Pago, AS, 96799"
26 Wall Street,,,New York,NY,10007,"26 Wall Street, , , New York, NY, 10007"
At the end of UT-275,"Approximately 45 minutes' drive west of Blanding, Utah",,Lake Powell,UT,84533,"At the end of UT-275, Approximately 45 minutes' drive west of Blanding, Utah, , Lake Powell, UT, 84533"
End of AZ Highway 564,,,Shonto,AZ,86054,"End of AZ Highway 564, , , Shonto, AZ, 86054"
33 William Street,,,New Bedford,MA,02740,"33 William Street, , , New Bedford, MA, 02740"
